Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,
Aruba,ABW,GDP (current US$),2691620111.73184,2646927374.30168,2700558659.21788,,,
Afghanistan,AFG,GDP (current US$),19907111418.9938,19362642266.6484,20191764940.1602,19362969582.3643,,
Angola,AGO,GDP (current US$),116193649124.151,101123851090.455,122123822333.591,105750987618.63,,
Albania,ALB,GDP (current US$),11386927679.0875,11861353752.0672,13025064966.5784,15102500898.238,,
Andorra,AND,GDP (current US$),2811489408.89431,2877311946.90265,3013387423.93509,3236543909.34844,,
Arab World,ARB,GDP (current US$),2558415136303.56,2511031304934.08,2587031858037.89,2774878865336.65,,
United Arab Emirates,ARE,GDP (current US$),358135057862.492,357045064669.843,377701060177.47,414178942592.479,,
Argentina,ARG,GDP (current US$),594749285413.212,557531376217.967,642695864756.35,519871519807.795,,
Armenia,ARM,GDP (current US$),10553337672.9872,10546135160.031,11527458565.7334,12433089919.0459,,
American Samoa,ASM,GDP (current US$),661000000,652000000,602000000,636000000,,
Antigua and Barbuda,ATG,GDP (current US$),1336692592.59259,1436585185.18519,1467977777.77778,1610574074.07407,,
Australia,AUS,GDP (current US$),1351693984524.5,1208846993739.99,1330135756844.41,1433904348500.12,,
Austria,AUT,GDP (current US$),381817565893.574,395227684138.862,417282900758.043,455285818035.125,,
Azerbaijan,AZE,GDP (current US$),53074468085.1064,37867518957.1975,40865558912.3867,46939529411.7647,,
Burundi,BDI,GDP (current US$),3104394858.11518,2959640987.29943,3172292379.36329,3036931818.18182,,
Belgium,BEL,GDP (current US$),462149679343.822,476056833074.336,503004504395.429,542761092103.469,,
Benin,BEN,GDP (current US$),11388160958.249,11821066152.598,12701656930.6889,14250985958.6727,,
Burkina Faso,BFA,GDP (current US$),10419303761.3524,10867024151.6053,12330338343.2865,14124775068.569,,
Bangladesh,BGD,GDP (current US$),195078678697.23,221415188000.475,249723862487.361,274024958965.892,,
Bulgaria,BGR,GDP (current US$),50201314894.5817,53240950226.2443,58220973782.7715,65132951116.4756,,
Bahrain,BHR,GDP (current US$),31125877659.5745,32250132978.7234,35432686170.2128,37746196808.5106,,
"Bahamas, The",BHS,GDP (current US$),11752300000,11938400000,12150400000,12424500000,,
Bosnia and Herzegovina,BIH,GDP (current US$),16211540686.1355,16913330693.9653,18080118128.3854,20161865419.4327,,
Belarus,BLR,GDP (current US$),56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,,
Belize,BLZ,GDP (current US$),1723785356.56776,1775100178.68896,1836593466.18157,1871203164.08274,,
Bermuda,BMU,GDP (current US$),,,,,,
Bolivia,BOL,GDP (current US$),33000198263.3864,33941126193.9219,37508642257.5977,40287647756.8741,,
Brazil,BRA,GDP (current US$),1802214373741.32,1795700168991.49,2062831045935.95,1885482534238.33,,
Barbados,BRB,GDP (current US$),4725500000,4840500000,4989500000,5145000000,,
Brunei Darussalam,BRN,GDP (current US$),12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,,
Bhutan,BTN,GDP (current US$),2003598213.03141,2158972128.46907,2450364928.75022,2446674101.3737,,
Botswana,BWA,GDP (current US$),14420604205.7459,15646316818.3319,17405538618.3969,18616018903.4434,,
Central African Republic,CAF,GDP (current US$),1695143879.57045,1823779165.27967,2067230996.47377,2219894701.95124,,
Canada,CAN,GDP (current US$),1552899925233.71,1526705529135.32,1646867220617.47,1713341704877.01,,
Central Europe and the Baltics,CEB,GDP (current US$),1289640593201.51,1317002605342.08,1457183749634.64,1632912822080.02,,
Switzerland,CHE,GDP (current US$),679832391757.542,671308872735.114,679950915261.122,705140354166.312,,
Channel Islands,CHI,GDP (current US$),,,,,,
Chile,CHL,GDP (current US$),243919085308.785,250339863130.847,277746461078.319,298231133532.749,,
China,CHN,GDP (current US$),11015542352468.9,11137945669350.6,12143491448186.1,13608151864637.9,,
Cote d'Ivoire,CIV,GDP (current US$),33131114321.6792,35296977343.6523,38053606750.5179,43007047821.7541,,
Cameroon,CMR,GDP (current US$),30916218544.4404,32621535418.9031,34922782310.6416,38675205293.0462,,
"Congo, Dem. Rep.",COD,GDP (current US$),37917704900.0794,37134799974.5225,38019265625.8845,47227535290.9218,,
"Congo, Rep.",COG,GDP (current US$),8553154580.39951,9035848070.90357,8701334800.21976,11263682694.0393,,
