,name,group,value
2,Burundi,1,60.9
15,Tanzania,2,64.48
21,Syria,2,70.97
25,Rwanda,2,68.34
28,Togo,2,60.49
30,Guinea,2,60.71
32,Liberia,2,63.3
38,South Sudan,2,57.36
39,Yemen,2,66.09
41,Haiti,2,63.29
45,Madagascar,2,66.31
47,Benin,2,77.03
58,Botswana,2,68.81
62,Afghanistan,2,64.13
65,Angola,2,60.38
68,Lesotho,2,52.95
75,Zimbabwe,2,60.81
81,Chad,2,53.71
83,Malawi,2,63.28
90,Niger,3,61.6
92,Burkina Faso,3,60.77
96,Uganda,3,62.52
98,Ukraine,3,71.84
101,Ghana,3,63.46
103,Sudan,3,64.88
112,Cambodia,3,69.29
115,Mali,3,58.45
127,Georgia,3,73.41
129,Congo (Brazzaville),3,63.95
130,Mauritania,3,58.45
136,India,3,69.17
152,Armenia,3,76.37
166,Sri Lanka,3,76.65
172,Ethiopia,3,71.66
174,Gabon,3,65.84
178,Iraq,3,70.29
185,Zambia,3,63.04
190,Senegal,3,67.38
191,Myanmar,3,66.56
194,Mozambique,3,76.67
195,Kenya,3,65.91
201,Namibia,3,63.02
208,Bangladesh,3,72.05
218,Albania,3,78.33
225,Iran,3,76.27
227,Cameroon,3,58.51
232,Sierra Leone,3,53.9
233,Bulgaria,3,74.82
238,Egypt,3,71.66
243,Palestinian Territories,3,73.74
251,Tunisia,3,76.31
255,South Africa,3,63.54
263,Laos,3,67.28
274,Mongolia,3,69.51
276,Nepal,3,70.17
282,Kyrgyzstan,4,71.19
285,Bhutan,4,72.05
288,Tajikistan,4,70.65
293,Nigeria,4,53.95
294,Vietnam,4,75.24
320,Macedonia,4,75.59
322,Honduras,4,74.9
323,Bosnia and Herzegovina,4,77.13
332,Portugal,4,81.66
341,Lebanon,4,78.83
342,Greece,4,81.9
343,Dominican Republic,4,73.69
344,Azerbaijan,4,72.69
345,Morocco,4,69.51
346,Montenegro,4,76.67
350,Venezuela,4,72.25
354,Indonesia,4,71.28
357,Pakistan,4,66.95
358,China,4,76.47
359,Kosovo,4,
365,Croatia,4,79.91
369,Jamaica,4,74.27
373,Hungary,4,76.5
375,Jordan,4,74.29
384,Serbia,4,75.68
391,Philippines,4,70.95
396,Hong Kong,4,84.49
404,Paraguay,4,73.99
405,Turkey,4,77.16
412,Libya,4,72.52
420,Belarus,4,77.03
424,Estonia,4,76.58
427,Cyprus,4,80.67
428,Mauritius,4,82.22
443,Peru,4,76.29
450,Slovenia,4,81.02
464,Kazakhstan,4,72.73
466,Turkmenistan,4,67.96
467,Bolivia,4,70.94
469,Romania,4,75.79
474,Moldova,4,74.95
475,South Korea,4,82.63
477,Latvia,4,75.05
481,Algeria,4,76.5
494,Lithuania,4,75.51
497,Japan,4,84.29
506,Russia,4,72.14
507,Italy,4,83.18
508,Uzbekistan,4,71.39
510,Poland,4,78.34
520,El Salvador,5,73.69
523,Ecuador,5,76.58
530,Nicaragua,5,74.07
535,Malaysia,5,75.83
537,Bahrain,5,77.03
539,Slovakia,5,77.22
543,Kuwait,5,75.31
574,Saudi Arabia,5,74.87
577,Colombia,5,76.92
583,Qatar,5,79.98
589,Spain,5,83.29
593,Taiwan(China),5,80.11
594,Thailand,5,76.68
598,France,5,82.43
601,Panama,5,78.15
602,Guatemala,5,73.81
603,Uruguay,5,77.63
615,Malta,5,82.22
617,Singapore,5,83.28
621,Mexico,5,74.95
625,Argentina,5,76.37
626,Czech Republic,5,79.06
629,Brazil,5,75.46
630,United Arab Emirates,5,77.65
632,Chile,5,79.91
637,United Kingdom,5,81.17
650,Luxembourg,5,81.96
654,Belgium,5,72.05
665,Germany,5,81.04
669,Ireland,5,81.87
672,United States,5,78.86
674,Austria,6,81.34
678,Costa Rica,6,79.91
690,Israel,6,82.66
698,Australia,6,83.12
699,Sweden,6,82.52
706,New Zealand,6,82.0
707,Canada,6,82.21
714,Netherlands,6,82.0
721,Finland,6,81.56
725,Switzerland,6,83.47
730,Iceland,6,82.72
732,Denmark,6,80.68
736,Norway,6,82.15
