name,group,value
South Sudan,1,57.85
Afghanistan,2,64.83
Tanzania,2,65.46
Rwanda,2,69.02
Yemen,2,66.12
Malawi,2,64.26
Syria,2,72.7
Botswana,2,69.59
Haiti,2,64.0
Zimbabwe,2,61.49
Burundi,2,61.58
Angola,2,61.15
Lesotho,2,54.33
Madagascar,2,67.04
Liberia,2,64.1
India,3,69.66
Togo,3,61.04
Zambia,3,63.89
Sudan,3,65.31
Egypt,3,71.99
Uganda,3,63.37
Ethiopia,3,71.99
Ukraine,3,72.06
Chad,3,54.24
Myanmar,3,67.13
Sri Lanka,3,76.98
Sierra Leone,3,54.7
Mali,3,59.31
Iraq,3,70.6
Bangladesh,3,72.59
Tunisia,3,76.7
Mozambique,3,76.88
Mauritania,3,59.31
Kenya,3,66.7
Georgia,3,73.77
Guinea,3,61.6
Iran,3,76.68
Armenia,3,76.67
Burkina Faso,3,61.58
Niger,3,62.42
Namibia,3,63.71
Senegal,3,67.94
Palestinian Territories,3,74.05
Cambodia,3,69.82
Venezuela,3,72.06
Albania,3,78.57
South Africa,3,64.13
Laos,3,67.92
Gabon,3,66.47
Congo (Brazzaville),3,64.57
Benin,3,77.29
Jordan,3,74.53
Nepal,3,70.78
Ghana,3,64.07
Bulgaria,4,75.05
Cameroon,4,59.29
Bhutan,4,72.59
Vietnam,4,75.4
Macedonia,4,75.8
China,4,76.91
Indonesia,4,71.72
Lebanon,4,78.93
Azerbaijan,4,73.0
Morocco,4,69.87
Algeria,4,76.88
Turkmenistan,4,68.19
Kyrgyzstan,4,71.45
Nigeria,4,54.69
Mongolia,4,69.87
Greece,4,82.24
Belarus,4,77.29
Malaysia,4,76.16
Turkey,4,77.69
Bosnia and Herzegovina,4,77.4
Dominican Republic,4,74.08
Hong Kong,4,84.86
Croatia,4,80.28
Tajikistan,4,71.1
Montenegro,4,76.88
Libya,4,72.91
Moldova,4,75.05
Serbia,4,76.0
Philippines,4,71.23
Russia,4,72.58
Pakistan,4,67.27
Portugal,4,82.05
Peru,4,76.74
Paraguay,4,74.25
Hungary,4,76.88
Bolivia,4,71.51
Kazakhstan,4,73.6
Honduras,4,75.27
Japan,4,84.63
Mauritius,4,82.53
Jamaica,4,74.47
Estonia,4,77.01
South Korea,4,83.03
Latvia,4,75.29
Thailand,5,77.15
Kuwait,5,75.49
Ecuador,5,77.01
Cyprus,5,80.98
Romania,5,76.05
Argentina,5,76.67
Kosovo,5,75.55
Nicaragua,5,74.48
Slovenia,5,81.32
Colombia,5,77.29
Lithuania,5,75.93
Uzbekistan,5,71.72
Poland,5,78.73
Slovakia,5,77.54
Bahrain,5,77.29
Italy,5,83.51
El Salvador,5,74.08
Singapore,5,83.62
Uruguay,5,77.91
Brazil,5,75.88
Panama,5,78.51
Spain,5,83.56
Qatar,5,80.23
Saudi Arabia,5,75.13
Guatemala,5,74.3
Chile,5,80.18
Taiwan(China),5,80.46
France,5,82.66
Mexico,5,75.05
Malta,5,82.53
United Arab Emirates,5,77.97
Czech Republic,5,79.38
United States,5,78.86
Belgium,5,72.59
Germany,5,81.33
Ireland,6,82.3
United Kingdom,6,81.32
Luxembourg,6,82.25
Israel,6,82.97
Costa Rica,6,80.28
Australia,6,83.44
Austria,6,81.54
Canada,6,82.43
New Zealand,6,82.29
Sweden,6,82.8
Switzerland,6,83.78
Netherlands,6,82.28
Iceland,6,82.99
Norway,6,82.4
Denmark,6,80.9
Finland,6,81.91
