country,region,rank,score,happiness_level,gdp,year,code,year,life_expectency
Australia,Australia and New Zealand,11.0,7.228,6,1.372,2019,AUS,2019,83.436
Australia,Australia and New Zealand,10.0,7.272,6,1.34,2018,AUS,2018,83.281
Australia,Australia and New Zealand,10.0,7.28399991989136,6,1.484414935112,2017,AUS,2017,83.122
Australia,Australia and New Zealand,10.0,7.284,6,1.33358,2015,AUS,2015,82.794
Australia,Australia and New Zealand,9.0,7.313,6,1.44443,2016,AUS,2016,82.959
New Zealand,Australia and New Zealand,9.0,7.286,6,1.25018,2015,NZL,2015,81.713
New Zealand,Australia and New Zealand,8.0,7.307,6,1.303,2019,NZL,2019,82.288
New Zealand,Australia and New Zealand,8.0,7.31400012969971,6,1.40570604801178,2017,NZL,2017,82.002
New Zealand,Australia and New Zealand,8.0,7.324,6,1.268,2018,NZL,2018,82.145
New Zealand,Australia and New Zealand,8.0,7.334,6,1.36066,2016,NZL,2016,81.859
Albania,Central and Eastern Europe,112.0,4.586,3,0.916,2018,ALB,2018,78.458
Albania,Central and Eastern Europe,109.0,4.64400005340576,3,0.996192753314972,2017,ALB,2017,78.333
Albania,Central and Eastern Europe,109.0,4.655,3,0.9553,2016,ALB,2016,78.194
Albania,Central and Eastern Europe,107.0,4.719,3,0.947,2019,ALB,2019,78.573
Albania,Central and Eastern Europe,95.0,4.959,3,0.87867,2015,ALB,2015,78.025
Armenia,Central and Eastern Europe,129.0,4.321,3,0.816,2018,ARG,2018,76.52
Armenia,Central and Eastern Europe,127.0,4.35,3,0.76821,2015,ARG,2015,76.068
Armenia,Central and Eastern Europe,121.0,4.36,3,0.86086,2016,ARG,2016,76.221
Armenia,Central and Eastern Europe,121.0,4.37599992752075,3,0.900596737861633,2017,ARG,2017,76.372
Armenia,Central and Eastern Europe,116.0,4.559,3,0.85,2019,ARG,2019,76.667
Azerbaijan,Central and Eastern Europe,87.0,5.201,4,1.024,2018,AZE,2018,72.864
Azerbaijan,Central and Eastern Europe,90.0,5.208,4,1.043,2019,AZE,2019,73.005
