Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,
Aruba,ABW,GDP per capita (current US$),25796.3802506382,25239.6004109932,25630.2664922069,,,
Afghanistan,AFG,GDP per capita (current US$),578.466352941708,547.228110150363,556.302138508508,520.896602719135,,
Angola,AGO,GDP per capita (current US$),4166.97968386501,3506.07288506966,4095.81294155857,3432.38573600893,,
Albania,ALB,GDP per capita (current US$),3952.82945832578,4124.10890718622,4532.89016212124,5268.84850355919,,
Andorra,AND,GDP per capita (current US$),36039.6534962289,37224.1089162924,39134.3933706717,42029.7627372989,,
Arab World,ARB,GDP per capita (current US$),6460.18296780202,6215.04815015502,6280.74376938016,6610.15026219846,,
United Arab Emirates,ARE,GDP per capita (current US$),38663.3838066363,38141.8467585492,39811.634701763,43004.9533584848,,
Argentina,ARG,GDP per capita (current US$),13789.060424772,12790.2424732447,14591.8633810541,11683.9496216363,,
Armenia,ARM,GDP per capita (current US$),3607.29669672271,3591.82927553023,3914.5012684128,4212.07094272937,,
American Samoa,ASM,GDP per capita (current US$),11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,,
Antigua and Barbuda,ATG,GDP per capita (current US$),14286.0931598293,15197.6174551735,15383.4151884998,16726.9808079479,,
Australia,AUS,GDP per capita (current US$),56755.7217124249,49971.131456129,54066.4712686117,57395.9194663167,,
Austria,AUT,GDP per capita (current US$),44178.0473777432,45237.8050921543,47431.630607607,51499.8853614086,,
Azerbaijan,AZE,GDP per capita (current US$),5500.32049702735,3880.73873089556,4147.08971569171,4722.38167888335,,
Burundi,BDI,GDP per capita (current US$),305.549772797441,282.193130404814,292.997630684415,271.752044376648,,
Belgium,BEL,GDP per capita (current US$),40991.8081381432,42012.0999001128,44219.5619960117,47472.1367302078,,
Benin,BEN,GDP per capita (current US$),1076.79771601166,1087.28783152256,1136.59284704681,1240.82946441954,,
Burkina Faso,BFA,GDP per capita (current US$),575.314454176311,582.795444327329,642.429838650148,715.12290404614,,
Bangladesh,BGD,GDP per capita (current US$),1248.45339778371,1401.62062821515,1563.99408178663,1698.26280233547,,
Bulgaria,BGR,GDP per capita (current US$),6993.78348267387,7469.45563823624,8228.0115697265,9271.54563263874,,
Bahrain,BHR,GDP per capita (current US$),22688.9637865734,22619.1166718849,23715.4827473156,24050.7575053956,,
"Bahamas, The",BHS,GDP per capita (current US$),31405.9635601781,31588.8349989813,31827.2426989661,32217.871590084,,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),4727.27738086936,4994.68314045091,5394.59122017677,6065.67270824158,,
Belarus,BLR,GDP per capita (current US$),5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,,
Belize,BLZ,GDP per capita (current US$),4775.91507722419,4818.40439383538,4887.55982047899,4884.74242133376,,
Bermuda,BMU,GDP per capita (current US$),,,,,,
Bolivia,BOL,GDP per capita (current US$),3035.97221489277,3076.6589493424,3351.12405268555,3548.59013979338,,
Brazil,BRA,GDP per capita (current US$),8814.00098681261,8710.09668954121,9925.38623770041,9001.23424863499,,
Barbados,BRB,GDP per capita (current US$),16561.8735192273,16936.9060448712,17431.6029248899,17949.2815054371,,
Brunei Darussalam,BRN,GDP per capita (current US$),31164.5620291141,27157.8234104784,28572.1467776509,31628.3287914349,,
Bhutan,BTN,GDP per capita (current US$),2752.66420795769,2930.56298819354,3286.57470378318,3243.23112508014,,
Botswana,BWA,GDP per capita (current US$),6799.87523352768,7243.85299726842,7893.21010771116,8258.64166574691,,
Central African Republic,CAF,GDP per capita (current US$),377.271253829801,401.918238362335,449.786423510424,475.721250544318,,
Canada,CAN,GDP per capita (current US$),43495.0543869902,42279.9008231637,45066.1619018552,46234.3507461125,,
Central Europe and the Baltics,CEB,GDP per capita (current US$),12489.5118732289,12787.1184759532,14183.3755478199,15926.0982380038,,
Switzerland,CHE,GDP per capita (current US$),82081.6092055418,80172.1933039266,80450.0458197413,82828.797372173,,
Channel Islands,CHI,GDP per capita (current US$),,,,,,
